"Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Sprint","Labels","Labels","Labels"
"Story","PLT-10-WEB developer — one palette, one file: tokens and primitives, both directions","*developer* — one palette, one file: tokens and primitives, both directions

Story folder: .squad/stories/platform/PLT-10-WEB-design-tokens/

Rules this story owns:
- D-1 — No colour literal outside the tokens file, in any root.
- BR-6 — Two languages, always, in resource files, never hardcoded.

Cannot ship before: PLT-9-WEB","","Platform","5","Block 0","web","platform","developer"
"Story","PLT-11-WEB developer — the web application has a test setup and its first tests","*developer* — the web application has a test setup and its first tests

Story folder: .squad/stories/platform/PLT-11-WEB-web-test-setup/

Owns no rule of its own.

Cannot ship before: PLT-9-WEB","","Platform","5","Block 1","web","platform","developer"
"Story","PLT-12-WEB agent — the desk has one shell: navigation, header, theme","*agent* — the desk has one shell: navigation, header, theme

Story folder: .squad/stories/platform/PLT-12-WEB-desk-shell/

Rules this story owns:
- D-1 — No colour literal outside the tokens file, in any root.

Cannot ship before: PLT-10-WEB","","Platform","5","Block 2","web","platform","agent"
"Story","PLT-13-ALL developer — the suite runs on every push and a red suite blocks a merge","*developer* — the suite runs on every push and a red suite blocks a merge

Story folder: .squad/stories/platform/PLT-13-ALL-ci-pipeline/

Owns no rule of its own.

Cannot ship before: PLT-11-WEB","","Platform","3","Block 1","all","platform","developer"
"Story","PLT-14-ALL developer — the backlog, its rules and every cited path are checked by a script","*developer* — the backlog, its rules and every cited path are checked by a script

Story folder: .squad/stories/platform/PLT-14-ALL-backlog-check/

Owns no rule of its own.

Cannot ship before: PLT-1-ALL","","Platform","5","Block 1","all","platform","developer"
"Story","PLT-15-ALL developer — the structure rules are enforced by a script, in every root","*developer* — the structure rules are enforced by a script, in every root

Story folder: .squad/stories/platform/PLT-15-ALL-structure-check/

Owns no rule of its own.

Cannot ship before: PLT-13-ALL","","Platform","5","Block 2","all","platform","developer"
"Story","PLT-16-WEB agent — empty, loading and error states are designed, not accidental","*agent* — empty, loading and error states are designed, not accidental

Story folder: .squad/stories/platform/PLT-16-WEB-designed-states/

Rules this story owns:
- D-2 — Empty, loading and error states are designed, not accidental.

Cannot ship before: PLT-12-WEB","","Platform","3","Block 2","web","platform","agent"
"Story","PLT-17-API system — the seed walks tickets through the real state machine","*system* — the seed walks tickets through the real state machine

Story folder: .squad/stories/platform/PLT-17-API-seed-tickets/

Rules this story owns:
- SC-3 — The demo database is generated; schema plus seed produces a working system.

Cannot ship before: TCK-4-API","","Platform","3","Block 4","api","platform","system"
"Story","PLT-18-MOB developer — a Compose skeleton: networking, injection, navigation, the same palette","*developer* — a Compose skeleton: networking, injection, navigation, the same palette

Story folder: .squad/stories/platform/PLT-18-MOB-compose-skeleton/

Rules this story owns:
- D-1 — No colour literal outside the tokens file, in any root.

Cannot ship before: IDN-1-API","","Platform","5","Block 10","mob","platform","developer"
"Story","PLT-19-ALL system — hardening: a rate-limit sweep, an error audit, the README, screenshots","*system* — hardening: a rate-limit sweep, an error audit, the README, screenshots

Story folder: .squad/stories/platform/PLT-19-ALL-hardening-sweep/

Owns no rule of its own.

No dependency.","","Platform","8","Block 12","all","platform","system"
"Story","LNG-1-WEB developer — every string in a resource file, in both languages","*developer* — every string in a resource file, in both languages

Story folder: .squad/stories/languages/LNG-1-WEB-strings-in-resources/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.

Cannot ship before: PLT-9-WEB","","Languages","3","Block 1","web","languages","developer"
"Story","LNG-1-MOB developer — every string in a resource file, in both languages","*developer* — every string in a resource file, in both languages

Story folder: .squad/stories/languages/LNG-1-MOB-strings-in-resources/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.

Cannot ship before: PLT-9-WEB","","Languages","3","Block 10","mob","languages","developer"
"Story","LNG-2-WEB agent — switching to Arabic flips the interface without a restart","*agent* — switching to Arabic flips the interface without a restart

Story folder: .squad/stories/languages/LNG-2-WEB-arabic-flip/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.

Cannot ship before: LNG-1-WEB","","Languages","3","Block 2","web","languages","agent"
"Story","LNG-2-MOB agent — switching to Arabic flips the interface without a restart","*agent* — switching to Arabic flips the interface without a restart

Story folder: .squad/stories/languages/LNG-2-MOB-arabic-flip/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.

Cannot ship before: LNG-1-WEB","","Languages","3","Block 10","mob","languages","agent"
"Story","LNG-3-WEB agent — dates and numbers read the way my locale writes them","*agent* — dates and numbers read the way my locale writes them

Story folder: .squad/stories/languages/LNG-3-WEB-locale-formats/

Rules this story owns:
- BR-3 — Time is UTC in storage, the reader's locale on display.

Cannot ship before: LNG-2-WEB","","Languages","3","Block 2","web","languages","agent"
"Story","LNG-4-ALL developer — a key missing from one language fails the build","*developer* — a key missing from one language fails the build

Story folder: .squad/stories/languages/LNG-4-ALL-missing-key-fails/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.

Cannot ship before: LNG-1-WEB","","Languages","2","Block 2","all","languages","developer"
"Story","IDN-1-API agent — I sign in and reach my queue","*agent* — I sign in and reach my queue

Story folder: .squad/stories/identity/IDN-1-API-sign-in/

Rules this story owns:
- I-3 — Staff accounts are created by an admin; the first admin comes from the seed.
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: PLT-4-API","","Identity","5","Block 1","api","identity","agent"
"Story","IDN-1-WEB agent — I sign in and reach my queue","*agent* — I sign in and reach my queue

Story folder: .squad/stories/identity/IDN-1-WEB-sign-in/

Rules this story owns:
- I-3 — Staff accounts are created by an admin; the first admin comes from the seed.
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: PLT-4-API","","Identity","5","Block 1","web","identity","agent"
"Story","IDN-1-MOB agent — I sign in and reach my queue","*agent* — I sign in and reach my queue

Story folder: .squad/stories/identity/IDN-1-MOB-sign-in/

Rules this story owns:
- I-3 — Staff accounts are created by an admin; the first admin comes from the seed.
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: PLT-4-API","","Identity","3","Block 10","mob","identity","agent"
"Story","IDN-2-API admin — I create, disable and re-enable accounts, and set roles","*admin* — I create, disable and re-enable accounts, and set roles

Story folder: .squad/stories/identity/IDN-2-API-manage-accounts/

Rules this story owns:
- I-3 — Staff accounts are created by an admin; the first admin comes from the seed.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-1-API","","Identity","5","Block 1","api","identity","admin"
"Story","IDN-2-WEB admin — I create, disable and re-enable accounts, and set roles","*admin* — I create, disable and re-enable accounts, and set roles

Story folder: .squad/stories/identity/IDN-2-WEB-manage-accounts/

Rules this story owns:
- I-3 — Staff accounts are created by an admin; the first admin comes from the seed.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-1-API","","Identity","5","Block 9","web","identity","admin"
"Story","IDN-3-WEB any — an expired token returns me to sign-in, not a broken screen","*any* — an expired token returns me to sign-in, not a broken screen

Story folder: .squad/stories/identity/IDN-3-WEB-token-expiry/

Owns no rule of its own.

Cannot ship before: IDN-1-WEB","","Identity","3","Block 2","web","identity","any"
"Story","IDN-4-API system — failed sign-ins are throttled per account and per address","*system* — failed sign-ins are throttled per account and per address

Story folder: .squad/stories/identity/IDN-4-API-sign-in-throttle/

Rules this story owns:
- E-2 — Every failure returns its documented code: 400 401 403 404 409 422 429 500 501.

Cannot ship before: IDN-1-API","","Identity","3","Block 1","api","identity","system"
"Story","IDN-5-API agent — I read the list of people a ticket can be assigned to","*agent* — I read the list of people a ticket can be assigned to

Story folder: .squad/stories/identity/IDN-5-API-assignable-agents/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: IDN-2-API","","Identity","2","Block 1","api","identity","agent"
"Story","IDN-6-API admin — I set a user's password, so a locked-out person gets back in","*admin* — I set a user's password, so a locked-out person gets back in

Story folder: .squad/stories/identity/IDN-6-API-admin-set-password/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-2-API","","Identity","3","Block 5","api","identity","admin"
"Story","IDN-6-WEB admin — I set a user's password, so a locked-out person gets back in","*admin* — I set a user's password, so a locked-out person gets back in

Story folder: .squad/stories/identity/IDN-6-WEB-admin-set-password/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-2-API","","Identity","2","Block 5","web","identity","admin"
"Story","IDN-7-API any — I change my own password, knowing the current one","*any* — I change my own password, knowing the current one

Story folder: .squad/stories/identity/IDN-7-API-change-own-password/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-1-API","","Identity","3","Block 5","api","identity","any"
"Story","IDN-7-WEB any — I change my own password, knowing the current one","*any* — I change my own password, knowing the current one

Story folder: .squad/stories/identity/IDN-7-WEB-change-own-password/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-1-API","","Identity","2","Block 5","web","identity","any"
"Story","IDN-8-API any — changing my password ends every other session","*any* — changing my password ends every other session

Story folder: .squad/stories/identity/IDN-8-API-session-invalidation/

Owns no rule of its own.

Cannot ship before: IDN-7-API","","Identity","3","Block 7","api","identity","any"
"Story","IDN-9-API admin — disabling somebody unassigns their queue and tells me how much","*admin* — disabling somebody unassigns their queue and tells me how much

Story folder: .squad/stories/identity/IDN-9-API-disable-unassigns/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: IDN-2-API, TCK-3-API","","Identity","5","Block 7","api","identity","admin"
"Story","CUS-1-API agent — I search by name, address or number","*agent* — I search by name, address or number

Story folder: .squad/stories/customers/CUS-1-API-customer-search/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: PLT-2-API","","Customers","3","Block 2","api","customers","agent"
"Story","CUS-1-WEB agent — I search by name, address or number","*agent* — I search by name, address or number

Story folder: .squad/stories/customers/CUS-1-WEB-customer-search/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: PLT-2-API","","Customers","3","Block 2","web","customers","agent"
"Story","CUS-2-API agent — contacts, open tickets and history in one screen","*agent* — contacts, open tickets and history in one screen

Story folder: .squad/stories/customers/CUS-2-API-customer-screen/

Owns no rule of its own.

Cannot ship before: CUS-1-API, TCK-1-API","","Customers","5","Block 4","api","customers","agent"
"Story","CUS-2-WEB agent — contacts, open tickets and history in one screen","*agent* — contacts, open tickets and history in one screen

Story folder: .squad/stories/customers/CUS-2-WEB-customer-screen/

Owns no rule of its own.

Cannot ship before: CUS-1-API, TCK-1-API","","Customers","5","Block 4","web","customers","agent"
"Story","CUS-2-MOB agent — contacts, open tickets and history in one screen","*agent* — contacts, open tickets and history in one screen

Story folder: .squad/stories/customers/CUS-2-MOB-customer-screen/

Owns no rule of its own.

Cannot ship before: CUS-1-API, TCK-1-API","","Customers","3","Block 10","mob","customers","agent"
"Story","CUS-3-API agent — I write an internal note about a customer","*agent* — I write an internal note about a customer

Story folder: .squad/stories/customers/CUS-3-API-internal-note/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: CUS-1-API","","Customers","3","Block 2","api","customers","agent"
"Story","CUS-3-WEB agent — I write an internal note about a customer","*agent* — I write an internal note about a customer

Story folder: .squad/stories/customers/CUS-3-WEB-internal-note/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: CUS-1-API","","Customers","2","Block 4","web","customers","agent"
"Story","CUS-4-API agent — I add a customer while I am on the phone to them","*agent* — I add a customer while I am on the phone to them

Story folder: .squad/stories/customers/CUS-4-API-add-customer/

Rules this story owns:
- I-1 — users and customers are two tables; customers.user_id is null until first sign-in.

Cannot ship before: CUS-1-API","","Customers","3","Block 4","api","customers","agent"
"Story","CUS-4-WEB agent — I add a customer while I am on the phone to them","*agent* — I add a customer while I am on the phone to them

Story folder: .squad/stories/customers/CUS-4-WEB-add-customer/

Rules this story owns:
- I-1 — users and customers are two tables; customers.user_id is null until first sign-in.

Cannot ship before: CUS-1-API","","Customers","2","Block 4","web","customers","agent"
"Story","CUS-5-API system — an arriving request matches a customer by address, or creates one","*system* — an arriving request matches a customer by address, or creates one

Story folder: .squad/stories/customers/CUS-5-API-identity-resolution/

Rules this story owns:
- I-2 — Identity resolution creates a customer the moment a request arrives from a new address.
- I-4 — Email addresses identify customers.

Cannot ship before: CUS-4-API","","Customers","5","Block 5","api","customers","system"
"Story","CUS-6-API agent — I give a customer a sign-in","*agent* — I give a customer a sign-in

Story folder: .squad/stories/customers/CUS-6-API-grant-sign-in/

Rules this story owns:
- I-1 — users and customers are two tables; customers.user_id is null until first sign-in.

Cannot ship before: CUS-4-API, IDN-2-API","","Customers","3","Block 5","api","customers","agent"
"Story","CUS-6-WEB agent — I give a customer a sign-in","*agent* — I give a customer a sign-in

Story folder: .squad/stories/customers/CUS-6-WEB-grant-sign-in/

Rules this story owns:
- I-1 — users and customers are two tables; customers.user_id is null until first sign-in.

Cannot ship before: CUS-4-API, IDN-2-API","","Customers","2","Block 5","web","customers","agent"
"Story","CUS-7-API agent — I correct a customer's contact details","*agent* — I correct a customer's contact details

Story folder: .squad/stories/customers/CUS-7-API-correct-contacts/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: CUS-4-API","","Customers","3","Block 7","api","customers","agent"
"Story","CUS-7-WEB agent — I correct a customer's contact details","*agent* — I correct a customer's contact details

Story folder: .squad/stories/customers/CUS-7-WEB-correct-contacts/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: CUS-4-API","","Customers","2","Block 7","web","customers","agent"
"Story","CUS-8-API admin — deleting a customer hides them and keeps the audit trail","*admin* — deleting a customer hides them and keeps the audit trail

Story folder: .squad/stories/customers/CUS-8-API-soft-delete/

Rules this story owns:
- BR-1 — Nothing is hard-deleted. Deletion sets deleted_at; the audit row survives.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: CUS-7-API","","Customers","3","Block 7","api","customers","admin"
"Story","CUS-8-WEB admin — deleting a customer hides them and keeps the audit trail","*admin* — deleting a customer hides them and keeps the audit trail

Story folder: .squad/stories/customers/CUS-8-WEB-soft-delete/

Rules this story owns:
- BR-1 — Nothing is hard-deleted. Deletion sets deleted_at; the audit row survives.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: CUS-7-API","","Customers","2","Block 7","web","customers","admin"
"Story","TCK-1-API agent — I raise a ticket for a customer","*agent* — I raise a ticket for a customer

Story folder: .squad/stories/tickets/TCK-1-API-raise-ticket/

Rules this story owns:
- T-1 — Statuses: new open pending resolved closed reopened. Priorities: low normal high urgent.
- SC-1 — One organisation, one queue.

Cannot ship before: CUS-1-API, SLA-1-API","","Tickets","5","Block 3","api","tickets","agent"
"Story","TCK-1-WEB agent — I raise a ticket for a customer","*agent* — I raise a ticket for a customer

Story folder: .squad/stories/tickets/TCK-1-WEB-raise-ticket/

Rules this story owns:
- T-1 — Statuses: new open pending resolved closed reopened. Priorities: low normal high urgent.
- SC-1 — One organisation, one queue.

Cannot ship before: CUS-1-API, SLA-1-API","","Tickets","5","Block 3","web","tickets","agent"
"Story","TCK-2-API agent — I filter and sort the queue; an agent sees all of it","*agent* — I filter and sort the queue; an agent sees all of it

Story folder: .squad/stories/tickets/TCK-2-API-queue-filter-sort/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: TCK-1-API","","Tickets","5","Block 3","api","tickets","agent"
"Story","TCK-2-WEB agent — I filter and sort the queue; an agent sees all of it","*agent* — I filter and sort the queue; an agent sees all of it

Story folder: .squad/stories/tickets/TCK-2-WEB-queue-filter-sort/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: TCK-1-API","","Tickets","5","Block 3","web","tickets","agent"
"Story","TCK-2-MOB agent — I filter and sort the queue; an agent sees all of it","*agent* — I filter and sort the queue; an agent sees all of it

Story folder: .squad/stories/tickets/TCK-2-MOB-queue-filter-sort/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: TCK-1-API","","Tickets","5","Block 10","mob","tickets","agent"
"Story","TCK-3-API agent — I assign a ticket","*agent* — I assign a ticket

Story folder: .squad/stories/tickets/TCK-3-API-assign-ticket/

Rules this story owns:
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: TCK-1-API, IDN-5-API","","Tickets","3","Block 3","api","tickets","agent"
"Story","TCK-3-WEB agent — I assign a ticket","*agent* — I assign a ticket

Story folder: .squad/stories/tickets/TCK-3-WEB-assign-ticket/

Rules this story owns:
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: TCK-1-API, IDN-5-API","","Tickets","3","Block 3","web","tickets","agent"
"Story","TCK-3-MOB agent — I assign a ticket","*agent* — I assign a ticket

Story folder: .squad/stories/tickets/TCK-3-MOB-assign-ticket/

Rules this story owns:
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: TCK-1-API, IDN-5-API","","Tickets","3","Block 10","mob","tickets","agent"
"Story","TCK-4-API system — an illegal status change is refused with what is legal","*system* — an illegal status change is refused with what is legal

Story folder: .squad/stories/tickets/TCK-4-API-status-machine/

Rules this story owns:
- T-1 — Statuses: new open pending resolved closed reopened. Priorities: low normal high urgent.
- T-3 — new to resolved is legal.
- T-7 — An illegal status change is refused, and the refusal names what is legal.

Cannot ship before: TCK-1-API","","Tickets","5","Block 3","api","tickets","system"
"Story","TCK-5-API agent — resolving a ticket needs a note","*agent* — resolving a ticket needs a note

Story folder: .squad/stories/tickets/TCK-5-API-resolve-with-note/

Rules this story owns:
- T-4 — Resolving requires a resolution note.

Cannot ship before: TCK-4-API","","Tickets","3","Block 3","api","tickets","agent"
"Story","TCK-5-WEB agent — resolving a ticket needs a note","*agent* — resolving a ticket needs a note

Story folder: .squad/stories/tickets/TCK-5-WEB-resolve-with-note/

Rules this story owns:
- T-4 — Resolving requires a resolution note.

Cannot ship before: TCK-4-API","","Tickets","2","Block 3","web","tickets","agent"
"Story","TCK-6-API agent — the categories are readable, so a form has something to offer","*agent* — the categories are readable, so a form has something to offer

Story folder: .squad/stories/tickets/TCK-6-API-category-list/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: PLT-8-API","","Tickets","2","Block 3","api","tickets","agent"
"Story","TCK-7-API agent — I read the whole history in order","*agent* — I read the whole history in order

Story folder: .squad/stories/tickets/TCK-7-API-ticket-history/

Owns no rule of its own.

Cannot ship before: TCK-1-API","","Tickets","3","Block 4","api","tickets","agent"
"Story","TCK-7-WEB agent — I read the whole history in order","*agent* — I read the whole history in order

Story folder: .squad/stories/tickets/TCK-7-WEB-ticket-history/

Owns no rule of its own.

Cannot ship before: TCK-1-API","","Tickets","3","Block 4","web","tickets","agent"
"Story","TCK-7-MOB agent — I read the whole history in order","*agent* — I read the whole history in order

Story folder: .squad/stories/tickets/TCK-7-MOB-ticket-history/

Owns no rule of its own.

Cannot ship before: TCK-1-API","","Tickets","3","Block 10","mob","tickets","agent"
"Story","TCK-8-API system — a customer may act only on their own ticket, on every path","*system* — a customer may act only on their own ticket, on every path

Story folder: .squad/stories/tickets/TCK-8-API-ticket-ownership/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: TCK-1-API, PLT-4-API","","Tickets","5","Block 4","api","tickets","system"
"Story","TCK-9-API admin — I add, rename and retire a category without touching the seed","*admin* — I add, rename and retire a category without touching the seed

Story folder: .squad/stories/tickets/TCK-9-API-manage-categories/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.
- BR-1 — Nothing is hard-deleted. Deletion sets deleted_at; the audit row survives.

Cannot ship before: TCK-6-API, IDN-2-API","","Tickets","3","Block 6","api","tickets","admin"
"Story","TCK-9-WEB admin — I add, rename and retire a category without touching the seed","*admin* — I add, rename and retire a category without touching the seed

Story folder: .squad/stories/tickets/TCK-9-WEB-manage-categories/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.
- BR-1 — Nothing is hard-deleted. Deletion sets deleted_at; the audit row survives.

Cannot ship before: TCK-6-API, IDN-2-API","","Tickets","2","Block 6","web","tickets","admin"
"Story","TCK-10-API agent — I change a ticket's category","*agent* — I change a ticket's category

Story folder: .squad/stories/tickets/TCK-10-API-change-category/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.

Cannot ship before: TCK-6-API","","Tickets","2","Block 6","api","tickets","agent"
"Story","TCK-10-WEB agent — I change a ticket's category","*agent* — I change a ticket's category

Story folder: .squad/stories/tickets/TCK-10-WEB-change-category/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.

Cannot ship before: TCK-6-API","","Tickets","2","Block 6","web","tickets","agent"
"Story","TCK-11-API customer — I reopen a resolved ticket inside the window","*customer* — I reopen a resolved ticket inside the window

Story folder: .squad/stories/tickets/TCK-11-API-reopen-window/

Rules this story owns:
- T-5 — A reply to a resolved ticket reopens it, within a 14-day window.

Cannot ship before: TCK-4-API","","Tickets","3","Block 6","api","tickets","customer"
"Story","TCK-11-WEB customer — I reopen a resolved ticket inside the window","*customer* — I reopen a resolved ticket inside the window

Story folder: .squad/stories/tickets/TCK-11-WEB-reopen-window/

Rules this story owns:
- T-5 — A reply to a resolved ticket reopens it, within a 14-day window.

Cannot ship before: TCK-4-API","","Tickets","2","Block 6","web","tickets","customer"
"Story","TCK-12-WEB agent — my own tickets are one click away","*agent* — my own tickets are one click away

Story folder: .squad/stories/tickets/TCK-12-WEB-my-tickets/

Owns no rule of its own.

Cannot ship before: TCK-2-WEB","","Tickets","2","Block 6","web","tickets","agent"
"Story","TCK-13-API agent — my change is refused if somebody edited it while I read","*agent* — my change is refused if somebody edited it while I read

Story folder: .squad/stories/tickets/TCK-13-API-stale-write-guard/

Rules this story owns:
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.

Cannot ship before: TCK-3-API","","Tickets","5","Block 7","api","tickets","agent"
"Story","TCK-13-WEB agent — my change is refused if somebody edited it while I read","*agent* — my change is refused if somebody edited it while I read

Story folder: .squad/stories/tickets/TCK-13-WEB-stale-write-guard/

Rules this story owns:
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.

Cannot ship before: TCK-3-API","","Tickets","3","Block 7","web","tickets","agent"
